,District,Suburb,total_KW,num_units,Unit_per_1000
0,Central & Inner Metropolitan,Sydney City,,0,0.0
1,Central & Inner Metropolitan,Ultimo,6.549999999999999,4,0.5625087891998313
2,Central & Inner Metropolitan,Chippendale,59.33,25,3.9720368605020657
3,Central & Inner Metropolitan,Pyrmont,21.61,7,0.6024614854978914
4,Central & Inner Metropolitan,Surry Hills,133.04,47,1.850175176160296
5,Central & Inner Metropolitan,Kings Cross,33.26,11,0.6098237055105887
6,Central & Inner Metropolitan,Alexandria,118.72000000000003,44,5.220073555581919
7,Central & Inner Metropolitan,Redfern,71.2,37,3.0743664312422103
8,Central & Inner Metropolitan,Waterloo,39.67,16,1.105888858169754
9,Central & Inner Metropolitan,Rosebery,196.65999999999994,88,5.7150279257046375
10,Central & Inner Metropolitan,Botany,204.45000000000002,98,11.009998876530727
11,Central & Inner Metropolitan,Mascot,154.87000000000003,81,7.956777996070727
12,Central & Inner Metropolitan,Paddington,99.47000000000003,53,3.722432925972749
13,Central & Inner Metropolitan,Bondi Junction,117.97,63,5.433376455368693
14,Central & Inner Metropolitan,Bellevue Hill,121.00000000000003,36,3.3438603009474273
15,Central & Inner Metropolitan,Waverley,230.96000000000006,111,10.020763744696218
16,Central & Inner Metropolitan,Woollahra,71.71999999999998,32,4.456824512534819
17,Central & Inner Metropolitan,Bondi,320.74000000000007,143,4.704566390314515
18,Central & Inner Metropolitan,Edgecliff,42.16,15,2.053388090349076
19,Central & Inner Metropolitan,Double Bay,42.55,13,2.773629187113292
20,Central & Inner Metropolitan,Rose Bay,100.76000000000002,38,4.041693256753883
21,Central & Inner Metropolitan,Vaucluse,195.40000000000006,73,5.246891396535614
22,Central & Inner Metropolitan,Randwick,436.89000000000004,188,5.816831683168317
23,Central & Inner Metropolitan,Kingsford,218.73,94,6.157877497543399
24,Central & Inner Metropolitan,Kensington,93.83999999999999,39,3.5570959503830717
25,Central & Inner Metropolitan,Coogee,265.65000000000003,113,5.91839941339758
26,Central & Inner Metropolitan,Pagewood,555.4699999999998,277,8.334837816693748
27,Central & Inner Metropolitan,Matraville,493.70000000000016,245,9.109499907045919
28,Central & Inner Metropolitan,Glebe,138.73,71,5.129687161332274
29,Central & Inner Metropolitan,Annandale,184.35000000000002,92,10.612527396470181
30,Central & Inner Metropolitan,Rozelle,151.83999999999997,63,7.955549943174644
31,Central & Inner Metropolitan,Leichhardt,365.49999999999994,183,8.771088957055214
32,Central & Inner Metropolitan,Balmain,238.81000000000017,121,8.20227765726681
33,Central & Inner Metropolitan,Newtown,229.06999999999996,116,6.545905987246769
34,Central & Inner Metropolitan,Erskineville,74.02000000000001,42,6.133177570093458
35,Central & Inner Metropolitan,St Peters,175.84,99,13.769123783031988
36,Central & Inner Metropolitan,Haberfield,95.63000000000002,43,6.466165413533834
37,Central & Inner Metropolitan,Five Dock,435.1000000000001,207,8.221136661503634
38,Central & Inner Metropolitan,Drummoyne,127.53999999999996,56,4.92134633974866
39,Central & Inner Metropolitan,Stanmore,117.48999999999997,58,7.530511555440145
40,Central & Inner Metropolitan,Petersham,173.92000000000004,89,8.513487660225751
41,Central & Inner Metropolitan,Camperdown,87.14000000000001,29,4.326421005519916
42,Gladesville-Ryde-Eastwood,Hunters Hill,249.96000000000004,97,9.892911779704233
43,Gladesville-Ryde-Eastwood,Gladesville,327.67000000000013,149,11.099523241954708
44,Gladesville-Ryde-Eastwood,Ryde,715.3299999999998,355,12.78265879302895
45,Gladesville-Ryde-Eastwood,North Ryde,448.5799999999999,229,13.631763795464016
46,Gladesville-Ryde-Eastwood,Meadowbank,431.06999999999965,238,11.081106248254027
47,Gladesville-Ryde-Eastwood,Ermington,290.37,127,13.410770855332629
48,Gladesville-Ryde-Eastwood,Rydalmere,228.3899999999999,92,14.8005148005148
49,Gladesville-Ryde-Eastwood,Telopea,584.0520000000005,265,13.934167630665685
50,Gladesville-Ryde-Eastwood,Carlingford,1166.7300000000018,575,26.656158731630427
51,Gladesville-Ryde-Eastwood,Beecroft,384.86,187,17.15281599706476
52,Gladesville-Ryde-Eastwood,Pennant Hills,580.9499999999995,294,14.980891719745223
53,Gladesville-Ryde-Eastwood,Epping,833.1000000000013,453,18.400422437954425
54,Gladesville-Ryde-Eastwood,Eastwood,887.0399999999994,475,16.641558350558807
55,Gladesville-Ryde-Eastwood,W. Pennant Hills,941.3400000000017,449,28.1187374749499
56,Gladesville-Ryde-Eastwood,Cherrybrook,885.2599999999995,504,26.839919054212377
57,Macarthur Region,Campbelltown,3336.7049999999795,1571,21.74815881278033
58,Macarthur Region,Ingleburn,728.3800000000007,337,20.318340769323527
59,Macarthur Region,Minto,1203.4200000000012,609,25.327510917030565
60,Macarthur Region,Narellan,1590.0299999999988,723,21.286618577947884
61,Macarthur Region,Camden,1614.9099999999994,657,23.17950889077053
62,North Shore,North Sydney,111.77999999999997,52,4.239015244150974
63,North Shore,Milsons Point,16.0,6,1.0563380281690142
64,North Shore,Cammeray,66.54,32,4.716981132075472
65,North Shore,Northbridge,176.86000000000004,80,13.486176668914363
66,North Shore,Artarmon,127.29999999999998,48,5.553627212773343
67,North Shore,Crows Nest,340.34999999999985,156,5.7403591404180165
68,North Shore,Lane Cove,696.97,319,11.547929336808572
69,North Shore,Chatswood,371.3899999999999,182,8.044910047296998
70,North Shore,Willoughby,424.3600000000001,199,12.538592401234956
71,North Shore,Roseville,417.56,188,14.155560575257887
72,North Shore,Lindfield,334.6899999999999,165,13.438670793288809
73,North Shore,Killara,340.3100000000001,146,12.006578947368421
74,North Shore,Gordon,127.03,57,8.646844660194175
75,North Shore,Pymble,335.8300000000002,166,10.549059481443823
76,North Shore,Turramurra,673.8399999999996,321,15.326585179526356
77,North Shore,St Ives,454.38000000000005,218,11.692142665593993
78,North Shore,Wahroona,574.7199999999998,290,12.198199713973247
79,North Shore,Hornsby,717.8099999999986,401,11.490300581678557
80,North Shore,Mount Colah,267.28999999999996,136,19.141449683321603
81,North Shore,Mount Kuring-gai,82.44,39,24.793388429752067
82,North Shore,Berowra Waters,320.6799999999999,152,26.88837785246772
83,North Shore,Terrey Hills,255.77000000000007,85,24.052065647990947
84,North Shore,Belrose,518.1000000000001,266,24.84124019424729
85,North Shore,Frenchs Forest,555.9199999999995,267,20.239539114614917
86,North Shore,Forestville,531.24,252,20.5078125
87,North Shore,Mosman,445.0100000000003,183,6.665938148836193
88,North Shore,Neutral Bay,29.7,14,1.263195885590544
89,North Shore,Cremorne,143.35999999999999,62,4.760076775431862
90,Northern Beaches,Seaforth,253.12999999999994,114,16.949152542372882
91,Northern Beaches,Balgowlah,581.25,271,12.539330001850825
92,Northern Beaches,Manly,160.3,72,4.777070063694268
93,Northern Beaches,Harbord,368.59999999999997,161,11.603603603603604
94,Northern Beaches,Collaroy,539.9900000000002,267,18.557130942452044
95,Northern Beaches,Dee Why,969.3199999999989,475,12.947718475712806
96,Northern Beaches,Brookvale,787.7599999999995,361,18.567093555521264
97,Northern Beaches,Narrabeen,637.8800000000001,295,16.406206551359766
98,Northern Beaches,Warriewood,266.91000000000014,131,21.314676212170518
99,Northern Beaches,Mona Vale,366.0399999999998,165,16.23057249655715
100,Northern Beaches,Bayview,150.27000000000004,57,18.42870999030068
101,Northern Beaches,Newport,218.53999999999996,110,12.172181033528824
102,Northern Beaches,Avalon,521.0800000000003,231,15.96958174904943
103,Outer Western Suburbs,Mulgoa,1427.7499999999995,616,23.482769136931992
104,Outer Western Suburbs,Kingswood,1237.5350000000005,591,17.255978276738006
105,Outer Western Suburbs,Castlereagh,760.6000000000008,322,20.41463260001268
106,Outer Western Suburbs,Penrith,1923.7549999999958,926,21.743724610796722
107,Outer Western Suburbs,Silverdale,288.1999999999999,112,23.952095808383234
108,Outer Western Suburbs,Richmond,910.4900000000017,340,19.90282737224141
109,Outer Western Suburbs,North Richmond,392.8199999999998,131,24.796517130418323
110,Outer Western Suburbs,Windsor,1830.5250000000005,630,19.507059697795395
111,Outer Western Suburbs,Kurrajong,768.2000000000004,251,29.43245778611632
112,Outer Western Suburbs,Erskine Park,1148.8700000000017,560,21.132075471698112
113,Outer Western Suburbs,St Marys,826.975000000002,419,15.50072139395509
114,Outer Western Suburbs,Glendenning,1187.0800000000029,618,22.291959744616385
115,Outer Western Suburbs,Quakers Hill,1610.7649999999985,766,25.662501256323495
116,Outer Western Suburbs,Riverstone,822.6100000000006,297,20.012128562765312
117,Outer Western Suburbs,Rooty Hill,602.3200000000004,296,20.87447108603667
118,Outer Western Suburbs,Parklea,1916.629999999998,929,35.10827255205775
119,Outer Western Suburbs,Minchinbury,1636.1350000000011,847,14.036425103160266
120,Parramatta-Hills District,Parramatta,157.0099999999999,73,2.942006206424052
121,Parramatta-Hills District,North Rocks,620.7900000000005,274,13.550269521784283
122,Parramatta-Hills District,Northmead,376.23000000000013,168,16.431924882629108
123,Parramatta-Hills District,Baulkham Hills,3137.5499999999806,1429,27.243436981678833
124,Parramatta-Hills District,Castle Hill,2157.629999999995,923,24.3432851566621
125,Parramatta-Hills District,Kellyville,2844.8099999999868,1314,29.84464431725266
126,Parramatta-Hills District,Kenthurst,992.3700000000031,399,32.31292517006803
127,Parramatta-Hills District,Glenorie,275.72,91,24.521692266235515
128,Parramatta-Hills District,Dural,401.03,133,16.045361322234285
129,Parramatta-Hills District,Galston,362.44000000000005,125,27.472527472527474
130,South Western Suburbs,Merrylands,694.1500000000008,320,9.7424343907934
131,South Western Suburbs,Yennora,528.8900000000002,269,9.516060563180982
132,South Western Suburbs,Chester Hill,368.6699999999999,208,12.245378547038737
133,South Western Suburbs,Villawood,214.97,95,10.854661791590493
134,South Western Suburbs,Smithfield/W.Park,685.2400000000006,342,18.623393596166412
135,South Western Suburbs,Fairfield,1197.3200000000013,587,14.85511830950272
136,South Western Suburbs,Lansvale,1856.9999999999975,869,17.476470115034996
137,South Western Suburbs,Liverpool,3419.9499999999725,1672,17.592407487294956
138,South Western Suburbs,Hoxton Park,1097.720000000002,490,20.088553624139063
139,South Western Suburbs,St Johns Park,2355.6299999999915,1081,23.467859236263376
140,South Western Suburbs,Chullora,437.6699999999998,244,9.87494435226031
141,South Western Suburbs,Belfield,149.99,77,12.74201555518782
142,South Western Suburbs,Belmore,204.17,105,8.350564657229203
143,South Western Suburbs,Canterbury,374.8900000000001,193,13.797540749213612
144,South Western Suburbs,Campsie,283.20000000000016,148,6.974881002874782
145,South Western Suburbs,Lakemba,194.04,111,4.403364011424944
146,South Western Suburbs,Punchbowl,463.6299999999998,244,8.244357345587241
147,South Western Suburbs,Georges Hall,202.42000000000007,108,12.456747404844291
148,South Western Suburbs,Yagoona,344.06,184,11.497125718570356
149,South Western Suburbs,Bankstown,615.519999999999,331,8.15030040382153
150,South Western Suburbs,Dulwich Hill,223.18000000000004,123,9.474657217686028
151,South Western Suburbs,Marrickville,469.26999999999975,223,9.059884618509791
152,South Western Suburbs,Arncliffe,236.27000000000004,128,9.964191187918418
153,South Western Suburbs,Earlwood,320.34000000000003,178,9.717748539608014
154,South Western Suburbs,Bexley,519.2100000000002,285,10.350087158628703
155,South Western Suburbs,Kingsgrove,335.5799999999999,173,15.02257728377909
156,South Western Suburbs,Beverly Hills,463.70999999999964,248,16.966545802832318
157,South Western Suburbs,Peakhurst,896.0999999999997,455,16.243038697700985
158,South Western Suburbs,Padstow,425.2399999999997,230,14.18877236273905
159,South Western Suburbs,Revesby,351.7299999999999,181,12.659998601105126
160,South Western Suburbs,East Hills,578.4899999999996,281,13.790057417676794
161,South Western Suburbs,Milperra,179.6,79,20.551508844953176
162,St George & Sutherland Shire,Rockdale,237.54999999999998,126,4.834625124702632
163,St George & Sutherland Shire,Kogarah,353.7300000000001,175,7.407407407407407
164,St George & Sutherland Shire,Carlton,257.06000000000006,133,8.76326019634974
165,St George & Sutherland Shire,Sans Souci,230.83999999999997,114,9.16693470569315
166,St George & Sutherland Shire,Hurstville,617.3499999999991,316,11.11345572202293
167,St George & Sutherland Shire,Blakehurst,330.12000000000006,153,9.693974529557119
168,St George & Sutherland Shire,Penshurst,207.7700000000001,107,9.15155661991105
169,St George & Sutherland Shire,Mortdale,561.4799999999999,276,13.935874779096189
170,St George & Sutherland Shire,Sylvania,391.73,162,12.063444783677117
171,St George & Sutherland Shire,Oyster Bay,172.09,79,14.554163596168017
172,St George & Sutherland Shire,Jannali,482.03999999999996,240,20.212228398180898
173,St George & Sutherland Shire,Gymea,389.8200000000002,175,12.457289293849659
174,St George & Sutherland Shire,Miranda,390.7199999999999,191,10.851039654584707
175,St George & Sutherland Shire,Caringbah,651.3600000000001,281,10.292286279393451
176,St George & Sutherland Shire,Cronulla,594.0800000000003,297,11.010194624652456
177,St George & Sutherland Shire,Kurnell,100.35000000000001,40,18.07501129688206
178,St George & Sutherland Shire,Sutherland,853.6500000000005,446,14.266521655684217
179,St George & Sutherland Shire,Heathcote,1127.9399999999996,565,19.28064428064428
180,St George & Sutherland Shire,Menai,1210.9499999999991,566,18.361123726724195
181,Western Suburbs,Homebush Bay,749.0,892,109.51503990178024
182,Western Suburbs,Silverwater,55.45,16,5.0600885515496525
183,Western Suburbs,Sydney Markets,,0,0.0
184,Western Suburbs,Summer Hill,94.07999999999998,48,7.287080613329286
185,Western Suburbs,Ashfield,314.91,157,7.075577989093695
186,Western Suburbs,Croydon,210.70999999999998,116,11.174260668529044
187,Western Suburbs,Croydon Park,186.20000000000005,97,9.029975795941164
188,Western Suburbs,Burwood,243.56000000000012,108,8.663564896518531
189,Western Suburbs,Strathfield,505.87000000000006,227,9.828541738829234
190,Western Suburbs,Enfield,174.26000000000005,81,12.053571428571429
191,Western Suburbs,Concord,490.06999999999977,222,9.243452554440605
192,Western Suburbs,Rhodes,233.25000000000003,115,8.505288070408993
193,Western Suburbs,Homebush,112.58999999999999,58,4.635179413410054
194,Western Suburbs,Lidcombe,661.3599999999997,359,14.09058795823848
195,Western Suburbs,Granville,437.30999999999995,206,9.14580003551767
196,Western Suburbs,Regents Park,254.11999999999992,139,18.630210427556626
197,Western Suburbs,Auburn,543.6099999999998,285,8.604552865165147
198,Western Suburbs,Wentworthville,2300.889999999987,1164,16.32286743980592
199,Western Suburbs,Toongabbie,635.0900000000009,324,20.655361468825703
200,Western Suburbs,Seven Hills,1889.610000000001,963,27.45701821914293
201,Western Suburbs,Blacktown,2267.3199999999947,1149,19.58411453894665
